Trend,Hype_cycle,customer_persona,Innovation
"AI APPLICATIONS
PERMEATE SOCIETY,Blockchain for Data Security,""""""Markus on perinteinen suomalainen mies. Hän arvostaa omaa rauhaansa, urheilua ja mökkeilyä. Markus asuu omakotitalossa, koska se on hänen mielestään absoluuttisesti mukavin olemisen muoto. Päivänsä hän viettää myyden yrityksille paineventtiilejä ja niiden analytiikkaohjelmistoa. Elämään iloa tuottaa vaimon kanssa aloitettu taidelasikeräily – Facebookin Mariskooliryhmässä viitataan heidän kokoelmaansa El Clasicona. Ensi vuonna Markus aikoo ostaa sähköauton, jos sillä pääsee Lapualle lataamatta. """""",""Kehitetään sovellus, jossa Mariskooliyksilöstä mitataan refraktio kännykän kameran avulla ja siitä luodaan yksilöllinen lohkoketjutunniste."""
"GROWING USE OF PROGRAMMED ORGANISMS IN PRODUCTION,Machine-Readable Legislation,""""""Noora on kunnianhimoinen, hän tietää, että hänestä tulee vielä jotain suurta. Hän opiskelee valtiotieteellisessä, sillä se on portti moneen korkeaan virkaan. Lisäksi hän on intohimoinen frankofiili, sillä kaikki hyvä tulee Ranskasta. Noora pitää itsestään huolta urheilemalla säännöllisesti ja ulkoiluttamalla koiraansa. Hän tilaa paljon tavaraa kotiinsa itselleen ja koiralleen Jamille.  """""",""Kehitetään uusi ranskalainen homejuusto, jonka tuotanto perustuu turbohomeeseen ja on siten halvempi tuottaa. Tätä varten luodaan yksiselitteinen lainsäädäntö, jolla saadaan ranskalaisille mallisuoja kaikille keinotekoisille homejuustoille."""
"FROM A MULTIPOLAR WORLD TO A POLY-NODAL WORLD,Digital twin,""""""Elviira joutui lähtemään maailmalle jo varhain, sillä perheen lapsista vain pojille kustannettiin paikka oppikouluun. Hänestä tuli ensin piika naapuripitäjään ja myöhemmin pientilallinen, joka sai onnekseen kasvattaa 5 lasta aikuiseksi ja nähdä heidän saavan omia lapsia jo varhain. Elviira on reipas ja hyväkuntoinen – hiihtäähän hän joka talvi vähintään 1000 kilometriä. Myös hänen puolisonsa on hyvissä voimissa, ja he viettävätkin usein aikaa luonnossa. Joulun aika on erityisen tärkeää Elviiralle ja hän lähettää kaikille vanhoille tutuilleen joulukortin ja -lahjan. """""",""Suomen väestöstä luodaan digitaalinen kaksonen, jonka avulla voidaan tutkia erillaisten ravitsemussuositusten vaikutusta terveisiin elinvuosiin."""
"THE FOCUS OF ECONOMIC GROWTH WILL SHIFT AWAY FROM THE WEST,Decentralized Finance,""""""Benjaminin aloittaa päivänsä kuuntelemalla podcasteja aamupuuron kanssa. Hän opiskelee Hankenissa ja postaa elämästään säännöllisesti sosiaalisen median palveluihin. Hänellä on yli 600 seuraajaa Instagramissa. Iltaisin Benjamin harrastaa kilpapelaamista League of Legendsissä ja kasaa itse tietokoneensa komponenteista, joita hän etsii foorumeilta käytettyinä."""""",""SIjoitusalusta, jolla on mahdollista sijoittaa pieniin ja keskisuuriin kiinalaisyrityksiin suoraan, sekä toimia näiden rahoittajina."""
"ADMIRATION OF STRONG LEADERS,Decentralized Finance,""""""Benjaminin aloittaa päivänsä kuuntelemalla podcasteja aamupuuron kanssa. Hän opiskelee Hankenissa ja postaa elämästään säännöllisesti sosiaalisen median palveluihin. Hänellä on yli 600 seuraajaa Instagramissa. Iltaisin Benjamin harrastaa kilpapelaamista League of Legendsissä ja kasaa itse tietokoneensa komponenteista, joita hän etsii foorumeilta käytettyinä."""""",?"
